University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,SGPA_CGPA_Gap,Study_Intensity,Total_Learning_Hours,Social_Study_Ratio
2021,Male,19,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,Yes,No,Yes,Programming,4,Artificial Intelligence,Single,Yes,Family,Yes,3.55,No,3.48,35,40000,-0.06999999999999984,2,6,1.9047619047619047
2021,Male,21,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,Yes,3.28,No,3.32,36,8000,0.040000000000000036,2,4,0.9523809523809523
2021,Male,25,2020,BCSE,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,47972,0.46999999999999975,9,6,0.6451612903225806
2022,Male,20,2020,BCSE,2,Yes,Yes,3,3,Online,Yes,Yes,4,Intermediate,90,No,No,Yes,Programming,2,Machine Learning,Single,No,Family,No,2.68,No,3.15,11,30000,0.46999999999999975,9,5,1.2903225806451613
2022,Male,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,11,90000,0.46999999999999975,8,7,0.48780487804878053
2022,Male,21,2021,BCSE,2,No,No,5,5,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,2.68,No,3.15,11,30000,0.46999999999999975,25,6,0.3921568627450981
2021,Male,23,2018,BCSE,4,Yes,No,8,4,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,37000,0.46999999999999975,32,10,0.2469135802469136
2022,Male,20,2020,BCSE,2,Yes,Yes,1,1,Offline,Yes,Yes,2,Basic,95,No,No,No,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000,0.46999999999999975,1,2,1.8181818181818181
2022,Female,20,2020,BCSE,2,Yes,Yes,3,1,Online,Yes,No,1,Intermediate,80,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,50000,0.46999999999999975,3,5,0.3225806451612903
2022,Female,21,2019,BCSE,2,Yes,No,2,1,Offline,Yes,Yes,3,Basic,99,No,No,Yes,Web development,2,Artificial Intelligence,Single,No,Bachelor,No,2.68,No,3.15,11,30000,0.46999999999999975,2,4,1.4285714285714286
2019,Male,24,2016,BCSE,11,No,No,2,2,Online,Yes,Yes,5,Basic,70,Yes,No,Yes,Programming,4,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,20000,0.46999999999999975,4,6,2.380952380952381
2022,Female,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,80000,0.46999999999999975,8,5,0.9756097560975611
2021,Female,22,2019,BCSE,2,Yes,Yes,5,2,Offline,Yes,Yes,3,Advance,98,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,40000,0.46999999999999975,10,7,0.5882352941176471
2022,Male,20,2020,BCSE,2,Yes,No,5,5,Offline,Yes,Yes,6,Basic,100,No,No,Yes,Programming,3,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,11,20000,0.46999999999999975,25,8,1.1764705882352942
2022,Male,21,2020,BCSE,2,No,No,3,2,Offline,Yes,Yes,2,Basic,97,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,10000,0.46999999999999975,6,5,0.6451612903225806
2022,Male,21,2020,BCSE,2,Yes,Yes,3,3,Offline,Yes,Yes,1,Basic,98,No,No,Yes,Programming,4,Software,Single,No,Bachelor,No,2.68,No,3.15,11,10000,0.46999999999999975,9,7,0.3225806451612903
2022,Male,19,2020,BCSE,2,Yes,Yes,5,3,Online,Yes,Yes,6,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000,0.46999999999999975,15,6,1.1764705882352942
2022,Male,19,2020,BCSE,2,Yes,Yes,4,2,Online,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000,0.46999999999999975,8,6,0.48780487804878053
2022,Male,19,2020,BCSE,2,Yes,No,4,2,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,2.68,No,3.15,11,25000,0.46999999999999975,8,7,0.24390243902439027
2022,Male,20,2020,BCSE,2,Yes,No,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,20000,0.46999999999999975,10,6,0.5882352941176471
2022,Male,19,2020,BCSE,2,Yes,Yes,1,1,Online,Yes,Yes,1,Intermediate,90,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,22000,0.46999999999999975,1,3,0.9090909090909091
2021,Female,20,2020,BCSE,4,No,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,3.78,No,3.88,36,200000,0.10000000000000009,4,3,1.4285714285714286
2022,Male,20,2020,BCSE,2,Yes,No,7,2,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,2,Software,Single,No,Family,Yes,2.68,No,3.15,11,39000,0.46999999999999975,14,9,0.7042253521126761
2022,Male,21,2020,BCSE,2,Yes,Yes,2,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,Programming,1,Machine Learning,Single,No,Family,No,2.68,No,3.15,11,30000,0.46999999999999975,2,3,1.4285714285714286
2022,Male,21,2020,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,2,Intermediate,88,No,No,No,Programming,2,Software,Single,Yes,Family,No,4.0,No,4.0,11,20000,0.0,4,4,0.9523809523809523
2022,Male,21,2020,BCSE,2,Yes,Yes,5,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,30000,0.46999999999999975,10,7,0.19607843137254904
2022,Male,20,2020,BCSE,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Software,Single,No,Family,No,3.9,No,3.9,12,60000,0.0,3,4,0.6451612903225806
2022,Male,20,2020,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,11,40000,0.46999999999999975,4,4,0.47619047619047616
2022,Male,22,2020,BCSE,2,No,Yes,1,1,Online,Yes,Yes,7,Basic,80,No,No,Yes,Networking,2,Software,Single,Yes,Family,Yes,2.68,No,3.15,11,32000,0.46999999999999975,1,3,6.363636363636363
2021,Male,20,2020,BCSE,2,Yes,No,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,2.68,No,3.15,11,30000,0.46999999999999975,2,2,1.8181818181818181
2021,Female,20,2020,BCSE,2,Yes,Yes,1,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000,0.46999999999999975,2,3,0.9090909090909091
2022,Male,20,2020,BCSE,2,Yes,Yes,4,1,Online,Yes,Yes,3,Intermediate,85,No,No,Yes,Web development,2,Software,Single,No,Family,No,2.68,No,3.15,11,30000,0.46999999999999975,4,6,0.7317073170731708
2021,Female,20,2020,BCSE,2,Yes,Yes,2,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000,0.46999999999999975,2,4,1.9047619047619047
2022,Male,20,2020,BCSE,2,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,75,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,35000,0.46999999999999975,1,2,3.6363636363636362
2021,Male,21,2020,BCSE,4,Yes,Yes,3,2,Offline,Yes,Yes,4,Intermediate,85,No,No,Yes,Web development,2,Artificial Intelligence,Relationship,No,Bachelor,No,2.68,No,3.15,36,40000,0.46999999999999975,6,5,1.2903225806451613
2019,Male,23,2017,BCSE,11,No,Yes,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,126,15000,0.46999999999999975,2,3,1.8181818181818181
2020,Male,21,2019,BCSE,8,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,3.84,No,3.8,80,23000,-0.040000000000000036,6,4,1.6129032258064515
2020,Male,21,2019,BCSE,8,No,Yes,3,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,88,62488,0.46999999999999975,6,5,0.6451612903225806
2018,Male,24,2016,BCSE,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Bachelor,No,3.31,No,3.52,132,350000,0.20999999999999996,4,4,1.9047619047619047
2020,Male,22,2019,BCSE,8,No,No,3,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Other,2,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,88,50000,0.46999999999999975,6,5,1.2903225806451613
2022,Female,21,2020,BCSE,2,Yes,No,3,1,Online,Yes,Yes,2,Advance,95,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,40000,0.46999999999999975,3,4,0.6451612903225806
2022,Male,20,2020,BCSE,2,No,No,3,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,5,Software,Relationship,No,Bachelor,No,2.68,No,3.15,11,35000,0.46999999999999975,6,8,0.6451612903225806
2020,Female,21,2019,BCSE,8,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,80,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,88,35000,0.46999999999999975,6,5,0.6451612903225806
2022,Male,21,2020,BCSE,2,No,No,8,2,Online,Yes,Yes,1,Basic,100,No,No,Yes,Web development,2,programming,Single,Yes,Bachelor,No,2.68,No,3.15,11,30000,0.46999999999999975,16,10,0.1234567901234568
2020,Male,23,2018,BCSE,8,Yes,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,2.68,No,3.15,88,40000,0.46999999999999975,4,3,0.47619047619047616
2022,Male,20,2020,BCSE,2,Yes,Yes,4,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000,0.46999999999999975,4,5,0.24390243902439027
2020,Female,21,2019,BCSE,8,No,Yes,1,1,Online,Yes,Yes,2,Intermediate,95,No,No,No,Software Development,2,Software,Single,No,Family,Yes,2.68,No,3.15,88,40000,0.46999999999999975,1,3,1.8181818181818181
2018,Female,24,2017,BCSE,12,No,Yes,2,2,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Networking,1,Machine Learning,Married,Yes,Family,No,2.68,No,3.15,136,30000,0.46999999999999975,4,3,1.4285714285714286
2020,Male,22,2019,BCSE,8,No,No,3,1,Online,Yes,Yes,1,Intermediate,100,No,No,No,Programming,8,Software,Single,Yes,Bachelor,No,2.68,No,3.15,88,35000,0.46999999999999975,3,11,0.3225806451612903
2020,Male,21,2019,BCSE,8,No,Yes,4,1,Offline,Yes,Yes,2,Basic,95,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,88,25000,0.46999999999999975,4,6,0.48780487804878053
2022,Female,20,2020,BCSE,2,Yes,Yes,5,3,Offline,Yes,No,2,Basic,99,No,No,Yes,Programming,2,Software,Single,Yes,Family,Yes,2.68,No,3.15,11,600000,0.46999999999999975,15,7,0.3921568627450981
2022,Female,20,2019,BCSE,2,Yes,Yes,4,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Programming,2,Software,Engaged,No,Family,No,2.68,No,3.15,11,35000,0.46999999999999975,12,6,0.9756097560975611
2020,Female,20,2019,BCSE,8,Yes,No,1,1,Offline,Yes,Yes,5,Intermediate,80,No,No,Yes,Web development,2,Software,Married,No,Bachelor,No,3.49,No,3.67,71,40000,0.17999999999999972,1,3,4.545454545454545
2020,Male,21,2019,BCSE,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,2,NETWORKING,Single,No,Bachelor,No,3.07,No,2.74,85,20000,-0.3299999999999996,4,6,0.48780487804878053
2019,Male,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,8,Intermediate,85,No,No,Yes,Graphics Designing,1,NETWORKING,Single,No,Family,No,2.68,No,3.15,88,20000,0.46999999999999975,3,4,2.5806451612903225
2019,Female,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,NETWORKING,Single,No,Family,No,3.76,No,3.5,83,92000,-0.2599999999999998,3,4,0.3225806451612903
2020,Male,22,2019,BCSE,8,No,Yes,3,1,Offline,No,Yes,1,Intermediate,98,No,No,No,Web development,2,Software,Single,No,Family,No,2.7,No,2.8,80,35000,0.09999999999999964,3,5,0.3225806451612903
2020,Male,22,2019,BCSE,8,No,No,2,1,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Web development,2,NETWORKING,Single,No,Bachelor,No,2.68,No,3.15,88,20000,0.46999999999999975,2,4,0.9523809523809523
2020,Male,23,2017,BCSE,8,No,Yes,1,1,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,88,15000,0.46999999999999975,1,3,0.9090909090909091
2020,Male,23,2017,BCSE,8,Yes,Yes,2,1,Online,Yes,Yes,1,Intermediate,96,No,No,No,Networking,2,NETWORKING,Single,Yes,Family,No,2.68,No,3.15,88,30000,0.46999999999999975,2,4,0.47619047619047616
2022,Male,21,2020,BCSE,2,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,3.65,No,3.15,11,45000,-0.5,3,5,0.3225806451612903
2020,Male,22,2019,BCSE,8,No,Yes,1,1,Offline,Yes,Yes,15,Intermediate,100,No,No,Yes,Web development,1,Hardware,Relationship,No,Family,No,2.68,No,3.15,88,90000,0.46999999999999975,1,2,13.636363636363635
2020,Female,21,2019,BCSE,8,No,No,2,2,Offline,Yes,Yes,2,Basic,80,No,No,No,Web development,1,Machine Learning,Single,No,Family,No,2.68,No,3.15,88,35000,0.46999999999999975,4,3,0.9523809523809523
2020,Male,20,2019,BCSE,8,Yes,Yes,2,1,Online,Yes,Yes,3,Basic,95,No,No,No,Web development,3,Software,Single,No,Bachelor,No,2.68,No,3.15,88,20000,0.46999999999999975,2,5,1.4285714285714286
2021,Male,21,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,100000,0.46999999999999975,8,6,0.48780487804878053
2019,Male,23,2018,BCSE,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,3.84,No,3.1,73,30000,-0.7399999999999998,12,8,0.49180327868852464
2022,Female,20,2020,BCSE,2,No,No,2,1,Offline,Yes,Yes,6,Intermediate,80,Yes,No,No,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,11,70000,0.46999999999999975,2,4,2.857142857142857
2018,Female,24,2016,BCSE,10,No,Yes,2,1,Online,Yes,Yes,4,Basic,90,Yes,No,No,Web development,4,Software,Single,No,Family,No,2.68,No,3.15,113,40000,0.46999999999999975,2,6,1.9047619047619047
2022,Female,21,2020,BCSE,2,Yes,No,2,4,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Engaged,Yes,Bachelor,No,2.68,No,3.15,11,10000,0.46999999999999975,8,4,0.47619047619047616
2021,Male,20,2020,BCSE,4,Yes,Yes,2,1,Offline,Yes,Yes,2,Advance,82,No,No,Yes,Programming,4,Software,Relationship,No,Bachelor,No,2.68,No,3.15,36,40000,0.46999999999999975,2,6,0.9523809523809523
2021,Male,22,2020,BCSE,4,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Programming,0,Software,Single,No,Family,No,2.68,No,3.15,36,20000,0.46999999999999975,1,1,0.9090909090909091
2021,Male,20,2019,BCSE,5,No,No,3,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Web development,8,Machine Learning,Single,Yes,Bachelor,No,2.68,No,3.15,50,22000,0.46999999999999975,6,11,0.3225806451612903
2019,Male,23,2017,BCSE,11,No,Yes,3,2,Online,Yes,Yes,1,Intermediate,85,Yes,No,Yes,Web development,2,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,45000,0.46999999999999975,6,5,0.3225806451612903
2020,Female,21,2019,BCSE,8,No,Yes,4,1,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,2.68,No,3.15,88,40000,0.46999999999999975,4,5,0.7317073170731708
2022,Female,20,2020,BCSE,2,Yes,Yes,2,1,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,2.68,No,3.15,11,50000,0.46999999999999975,2,3,2.380952380952381
2020,Female,22,2019,BCSE,8,Yes,No,3,1,Offline,Yes,Yes,4,Intermediate,90,No,No,Yes,Web development,2,Software,Single,No,Bachelor,No,2.68,No,3.15,88,50000,0.46999999999999975,3,5,1.2903225806451613
2018,Male,23,2017,BCSE,13,No,No,2,4,Offline,Yes,Yes,6,Basic,88,Yes,No,Yes,Networking,1,Software,Relationship,No,Bachelor,No,2.68,No,3.15,112,30000,0.46999999999999975,8,3,2.857142857142857
2022,Male,20,2020,BCSE,2,Yes,No,3,4,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Software Development,5,Software,Single,No,Bachelor,No,2.68,No,3.15,11,40000,0.46999999999999975,12,8,0.3225806451612903
2021,Male,19,2020,BCSE,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,3.5,No,3.58,35,30000,0.08000000000000007,1,2,0.9090909090909091
2021,Male,21,2019,BCSE,4,Yes,Yes,4,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Web development,2,Software,Single,Yes,Family,No,3.38,No,3.82,27,40000,0.43999999999999995,8,6,0.24390243902439027
2020,Male,21,2019,BCSE,8,No,No,2,2,Offline,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,1,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,88,30000,0.46999999999999975,4,3,0.47619047619047616
2019,Female,22,2017,BCSE,10,No,No,9,3,Online,Yes,Yes,1,Intermediate,88,Yes,No,No,Database,1,Hardware,Single,No,Bachelor,No,2.68,No,3.15,113,62488,0.46999999999999975,27,10,0.10989010989010989
2022,Female,19,2020,BCSE,2,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000,0.46999999999999975,6,6,0.6451612903225806
2022,Female,22,2022,BCSE,4,Yes,No,1,1,Offline,Yes,Yes,10,Basic,80,Yes,No,No,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,36,100000,0.46999999999999975,1,3,9.09090909090909
2021,Male,22,2018,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Networking,3,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,36,30000,0.46999999999999975,6,6,0.9677419354838709
2019,Female,21,2019,BCSE,9,No,No,2,3,Offline,Yes,Yes,3,Basic,92,Yes,No,Yes,Web development,1,Software,Single,Yes,Bachelor,No,1.89,No,2.69,86,20000,0.8,6,3,1.4285714285714286
